ID,Usage Name,0B47190 (US),0B47208 (JIS),ISO
B9,Keypad },,,
BA,Keypad Tab,,,
BB,Keypad Backspace,,,
BC,Keypad A,,,
BD,Keypad B,,,
BE,Keypad C,,,
BF,Keypad D,,,
C0,Keypad E,,,
C1,Keypad F,,,
C2,Keypad XOR,,,
C3,Keypad ^,,,
C4,Keypad %,,,
C5,Keypad <,,,
C6,Keypad >,,,
C7,Keypad &,,,
C8,Keypad &&,,,
C9,Keypad |,,,
CA,Keypad ||,,,
CB,Keypad :,,,
CC,Keypad #,,,
CD,Keypad Space,,,
CE,Keypad @,,,
CF,Keypad !,,,
D0,Keypad Memory Store,,,
D1,Keypad Memory Recall,,,
D2,Keypad Memory Clear,,,
D3,Keypad Memory Add,,,
D4,Keypad Memory Subtract,,,
D5,Keypad Memory Multiply,,,
D6,Keypad Memory Divide,,,
D7,Keypad +/-,,,
D8,Keypad Clear,,,
D9,Keypad Clear Entry,,,
DA,Keypad Binary,,,
DB,Keypad Octal,,,
DC,Keypad Decimal,,,
DD,Keypad Hexadecimal,,,
DE,Reserved,,,
DF,Reserved,,,
E0,LeftControl,LCtrl,LCtrl,LCtrl
E1,LeftShift,LShift,LShift,LShift
E2,LeftAlt,LAlt,LAlt,LAlt
E3,Left GUI,LWin,LWin,LWin
E4,RightControl,RCtrl,RCtrl,RCtrl
E5,RightShift,RShift,RShift,RShift
E6,RightAlt,RAlt,RAlt,RAlt
E7,Right GUI,RWin,RWin,RWin
