Byte_Offset,XORed_ID,Usage Name
0x740c4,0x16,Delete Forward
0x740c5,0x5a,
0x740c6,0x5a,
0x740c7,0x5a,
0x740c8,0x13,Insert
0x740c9,0x5a,
0x740ca,0x1c,PrintScreen
0x740cb,0x5a,
0x740cc,0x11,PageUp
0x740cd,0x5a,
0x740ce,0x14,PageDown
0x740cf,0x5a,
0x740d0,0x5a,
0x740d1,0x5a,
